alpha_deg,lambda0,lambda,lambda1,lambda2,lambda1_D1_printed,lambda0_residual,lambda_residual,lambda1_residual,lambda2_residual
1,-0.0101713173877304,-0.96242621619201,-0.497930595631219,-0.499999788395653,NaN,2.21177243187043e-17,2.05998412772246e-18,1.59594559789866e-16,3.68689486789257e-17
2,-0.0200361385205572,-0.946421650399447,-0.495886921395689,-0.499998305616611,NaN,1.39645239816133e-16,4.33680868994202e-18,8.67361737988404e-17,2.33378752792241e-17
3,-0.0295169636833751,-0.933829942453543,-0.493865844064017,-0.499994272735385,NaN,3.27862736959617e-16,4.33680868994202e-19,3.08780778723872e-16,7.48175731980251e-17
4,-0.0385544703625096,-0.922946288015899,-0.491864305320615,-0.499986395282718,NaN,8.32667268468867e-17,2.68882138776405e-17,4.71844785465692e-16,9.91841699916896e-17
5,-0.0471060688651836,-0.913114675229351,-0.489879317818162,-0.499973355399854,NaN,2.32452945780892e-16,8.67361737988404e-18,7.49400541621981e-16,2.61224960933226e-17
6,-0.0551438218557721,-0.904000455099151,-0.487907961088202,-0.499953803911911,NaN,1.17961196366423e-16,2.08166817117217e-17,9.29811783123569e-16,7.63142804158234e-17
7,-0.0626521068716319,-0.895405679592306,-0.485947377341809,-0.499926352301825,NaN,1.73472347597681e-16,2.77555756156289e-17,2.4980018054066e-16,7.57857318567368e-17
8,-0.0696252930199733,-0.887201787328731,-0.483994767189567,-0.499889564564328,NaN,8.39606162372775e-16,3.46944695195361e-17,1.38777878078145e-16,3.80338122107915e-16
9,-0.0760656004643907,-0.879299664085376,-0.482047385305678,-0.499841948919869,NaN,4.02455846426619e-16,7.63278329429795e-17,1.08246744900953e-15,7.34546971858929e-17
10,-0.0819812292703911,-0.871634481631286,-0.480102536056873,-0.499781949369215,NaN,2.4980018054066e-16,2.08166817117217e-17,5.55111512312578e-17,1.39536819598884e-16
11,-0.0873847863443345,-0.864157276874679,-0.478157569112946,-0.49970793707077,NaN,8.04911692853238e-16,6.93889390390723e-17,8.32667268468867e-16,2.03721588210026e-16
12,-0.0922920028734504,-0.856829937650789,-0.476209875052222,-0.499618201524332,NaN,1.2490009027033e-16,4.16333634234434e-17,5.55111512312578e-17,2.59124319224036e-16
13,-0.0967207147783366,-0.849622049790893,-0.474256880972064,-0.499510941547214,NaN,1.80411241501588e-16,4.16333634234434e-17,1.0547118733939e-15,2.95987193088543e-16
