alpha_deg,lambda0,lambda0_residual,lambda,lambda_residual,lambda1,lambda1_residual,lambda2,lambda2_residual,lambda1_symmetry,lambda1_symmetry_residual,lambda1_D1_printed,lambda1_D1_printed_residual,lambda1_symmetry_error
1.0,-0.010171317169620827,9.714920653960263e-11,-0.9624262114546005,5.110003652858408e-11,-0.49793059563007214,7.116694386577471e-13,-0.4999997886657757,8.291914774325742e-11,-0.49793059563007214,1.4233050502077127e-12,,,0.0
2.0,-0.020036138597080203,6.807198815045323e-11,-0.9464216524485198,8.893750427958758e-11,-0.4958869213926863,3.766395181847848e-12,-0.49999830551150853,6.447256987496375e-11,-0.4958869213926863,7.532892712380779e-12,,,0.0
3.0,-0.02951696364092321,5.650274172153136e-11,-0.9338299428004516,3.4067449816016504e-11,-0.4938658440863061,4.235101158656107e-11,-0.4999942728043748,6.339182377689754e-11,-0.4938658440863061,8.470208562316728e-11,,,0.0
4.0,-0.03855447032662815,6.34402912147447e-11,-0.9229462882329685,3.809226632039975e-11,-0.4918643053251437,1.1578321634786448e-11,-0.49998639526394395,2.2956360038817528e-11,-0.4918643053251437,2.3156983275374188e-11,,,0.0
5.0,-0.04710606889522016,6.605498786838027e-11,-0.9131146752704212,1.1314582951116314e-11,-0.48987931781983013,5.377663592209814e-12,-0.49997335538917426,1.6283007535085152e-11,-0.48987931781983013,1.0755327184419627e-11,,,0.0
6.0,-0.05514382183962868,4.2338639538730405e-11,-0.9040004550242386,2.984716640508367e-11,-0.48790796108588064,9.053868765818152e-12,-0.4999538039216697,1.7799886984823897e-11,-0.48790796108588064,1.810762650933384e-11,,,0.0
7.0,-0.06265210687813796,1.975902774731253e-11,-0.8954056794240395,9.160600056290491e-11,-0.4859473773428964,4.983825852011847e-12,-0.4999263523116536,2.08407446302631e-11,-0.4859473773428964,9.968179059960391e-12,,,0.0
8.0,-0.06962529299317556,9.220988556046805e-11,-0.8872017874524973,8.830862430198039e-11,-0.48399476717534456,7.504397103730298e-11,-0.49988956456405265,6.654061524870303e-13,-0.48399476718726553,2.4286211930402146e-11,,,1.1920964215761387e-11
9.0,-0.07606560048155693,6.58019749799621e-11,-0.8792996641593067,6.696224130742223e-11,-0.4820473853125512,4.10663725247673e-11,-0.49984194889384714,7.032809415125768e-11,-0.4820473853125512,8.213246749377845e-11,,,0.0
10.0,-0.08198122927330903,1.2291986872803307e-11,-0.8716344816267583,5.075856401859369e-12,-0.4801025360510636,3.879468968293054e-11,-0.49978194938142095,3.64657035036714e-11,-0.4801025360510636,7.75890740545293e-11,,,0.0
