case_id,alpha_deg,material_index,sigma_prime,d_over_l,delta_prime,J_prime
alpha10_material2,10,2,0,0,0,0
alpha10_material2,10,2,0.0025,7.17771077315709e-05,0.000228529269049829,0.000112009866706273
alpha10_material2,10,2,0.005,0.000158982237839655,0.000506179417834386,0.000248095525605194
alpha10_material2,10,2,0.0075,0.000253147012282379,0.000805988197454135,0.000395041873362759
alpha10_material2,10,2,0.01,0.000352136673478521,0.00112115880869199,0.000549517570507659
alpha10_material2,10,2,0.0125,0.000454876182614399,0.0014482684633909,0.000709844993657867
alpha10_material2,10,2,0.015,0.000560706328061939,0.00178521831476984,0.000874995427545723
alpha10_material2,10,2,0.0175,0.000669177752265173,0.00213057766497748,0.0010442676391244
alpha10_material2,10,2,0.02,0.000779962834172589,0.00248330340985716,0.00121715036802872
alpha10_material2,10,2,0.0225,0.000892811257694463,0.00284259857451223,0.00139325299010662
alpha10_material2,10,2,0.025,0.00100752504158354,0.00320783281159169,0.00157226655096003
alpha10_material2,10,2,0.0275,0.00112394337226153,0.00357849411092043,0.00175394009721346
alpha10_material2,10,2,0.03,0.00124193283378753,0.00395415769294939,0.00193806543014966
alpha10_material2,10,2,0.0325,0.00136138081766766,0.00433446502641963,0.00212446682156237
alpha10_material2,10,2,0.035,0.00148219090918919,0.00471910913903155,0.00231299381402223
alpha10_material2,10,2,0.0375,0.00160427955690112,0.00510782401349029,0.00250351602352256
alpha10_material2,10,2,0.04,0.00172757360567173,0.00550037673307205,0.0026959192897578
alpha10_material2,10,2,0.0425,0.0018520084288825,0.00589656153476466,0.002890102761368
alpha10_material2,10,2,0.045,0.00197752648724059,0.00629619522070813,0.00308597664693189
alpha10_material2,10,2,0.0475,0.00210407619828012,0.00669911355882903,0.00328346045079683
alpha10_material2,10,2,0.05,0.00223161103662009,0.00710516841817525,0.00348248156901031
alpha10_material2,10,2,0.0525,0.00236008880861127,0.0075142254594829,0.00368297415738918
alpha10_material2,10,2,0.055,0.00248947106082114,0.00792616225186686,0.00388487820844653
alpha10_material2,10,2,0.0575,0.00261972259266261,0.0083408667210922,0.00408813879083739
alpha10_material2,10,2,0.06,0.00275081105107334,0.00875823585908406,0.00429270541684619
alpha10_material2,10,2,0.0625,0.00288270659056994,0.00917817464158298,0.00449853151189331
alpha10_material2,10,2,0.065,0.0030153815859257,0.00960059511334719,0.00470557396616201
alpha10_material2,10,2,0.0675,0.00314881038760517,0.010025415609487,0.00491379275294829
alpha10_material2,10,2,0.07,0.00328296911223751,0.0104525600883582,0.00512315060168956
alpha10_material2,10,2,0.0725,0.00341783546203083,0.0108819575566004,0.00533361271615655
alpha10_material2,10,2,0.075,0.00355338856826587,0.0113135415708404,0.00554514653022146
alpha10_material2,10,2,0.0775,0.00368960885495923,0.011747249803613,0.00575772149510128
alpha10_material2,10,2,0.08,0.00382647791952767,0.0121830236634116,0.00597130889313153
alpha10_material2,10,2,0.0825,0.00396397842786637,0.0126208079606298,0.00618588167403349
alpha10_material2,10,2,0.085,0.00410209402171463,0.0130605506126264,0.00640141431035615
alpha10_material2,10,2,0.0875,0.00424080923654966,0.0135022023823089,0.00661788266934758
alpha10_material2,10,2,0.09,0.00438010942854442,0.0139457166455767,0.00683526389897086
alpha10_material2,10,2,0.0925,0.00451998070936402,0.0143910491837212,0.00705353632615237
alpha10_material2,10,2,0.095,0.00466040988776975,0.0148381579974999,0.00727267936565351
alpha10_material2,10,2,0.0975,0.00480138441715902,0.0152870031401107,0.0074926734382055
alpha10_material2,10,2,0.1,0.00494289234830067,0.0157375465667071,0.00771349989675177
alpha10_material2,10,2,0.1025,0.00508492228663376,0.0161897519984422,0.00793514095981166
alpha10_material2,10,2,0.105,0.00522746335358831,0.0166435847993197,0.00815757965112056
alpha10_material2,10,2,0.1075,0.00537050515146226,0.0170990118643661,0.0083807997448196
alpha10_material2,10,2,0.11,0.0055140377314524,0.0175560015178452,0.00860478571556709
alpha10_material2,10,2,0.1125,0.0056580515644905,0.0180145234204042,0.00882952269302768
alpha10_material2,10,2,0.115,0.00580253751458161,0.018474548484186,0.00905499642026615
alpha10_material2,10,2,0.1175,0.00594748681437997,0.0189360487950662,0.00928119321563299
alpha10_material2,10,2,0.12,0.00609289104277097,0.0193989975412768,0.00950809993778057
alpha10_material2,10,2,0.1225,0.00623874210425598,0.0198633689477698,0.00973570395349265
alpha10_material2,10,2,0.125,0.00638503220996117,0.0203291382157522,0.00996399310804822
alpha10_material2,10,2,0.1275,0.00653175386011232,0.0207962814668877,0.010192955697873
alpha10_material2,10,2,0.13,0.00667889982783603,0.0212647756917217,0.010422580445261
alpha10_material2,10,2,0.1325,0.00682646314416306,0.0217345987019341,0.0106528564749714
alpha10_material2,10,2,0.135,0.00697443708412389,0.022205729086069,0.0108837732925311
alpha10_material2,10,2,0.1375,0.00712281515383777,0.0226781461684283,0.0111153207640863
alpha10_material2,10,2,0.14,0.00727159107850784,0.0231518299708492,0.0113474890976686
alpha10_material2,10,2,0.1425,0.00742075879124337,0.0236267611771158,0.0115802688257522
alpha10_material2,10,2,0.145,0.0075703124226388,0.0241029210997803,0.0118136507889917
alpha10_material2,10,2,0.1475,0.00772024629104601,0.0245802916491908,0.0120476261210412
alpha10_material2,10,2,0.15,0.00787055489348279,0.0250588553045451,0.0122821862343674
alpha10_material2,10,2,0.1525,0.00802123289712601,0.0255385950868061,0.0125173228069744
alpha10_material2,10,2,0.155,0.00817227513134275,0.0260194945333301,0.0127530277699677
alpha10_material2,10,2,0.1575,0.00832367658021746,0.0265015376740738,0.012989293295893
alpha10_material2,10,2,0.16,0.00847543237553664,0.0269847090092586,0.0132261117877884
alpha10_material2,10,2,0.1625,0.00862753779019649,0.0274689934883816,0.0134634758688972
alpha10_material2,10,2,0.165,0.00877998823200176,0.0279543764904715,0.0137013783729906
alpha10_material2,10,2,0.1675,0.00893277923782719,0.0284408438054998,0.0139398123352564
alpha10_material2,10,2,0.17,0.00908590646811496,0.028928381616861,0.0141787709837127
alpha10_material2,10,2,0.1725,0.00923936570168445,0.0294169764848478,0.0144182477311075
alpha10_material2,10,2,0.175,0.0093931528308321,0.0299066153310496,0.0146582361672728
alpha10_material2,10,2,0.1775,0.00954726385670127,0.0303972854236104,0.0148987300518987
alpha10_material2,10,2,0.18,0.00970169488490375,0.0308889743632889,0.0151397233077005
alpha10_material2,10,2,0.1825,0.00985644212137574,0.0313816700702639,0.0153812100139525
alpha10_material2,10,2,0.185,0.0100115018684529,0.0318753607716378,0.0156231844003624
alpha10_material2,10,2,0.1875,0.0101668705211498,0.0323700349895914,0.0158656408412655
alpha10_material2,10,2,0.19,0.0103225445636311,0.0328656815301477,0.0161085738501179
alpha10_material2,10,2,0.1925,0.0104785205658613,0.0333622894725056,0.0163519780742686
alpha10_material2,10,2,0.195,0.0106347951804227,0.033859848158909,0.0165958482899933
alpha10_material2,10,2,0.1975,0.0107913651394905,0.0343583471850155,0.0168401793977746
alpha10_material2,10,2,0.2,0.0109482272519558,0.0348577763907361,0.0170849664178118
alpha10_material2,10,2,0.2025,0.011105378400687,0.0353581258515166,0.0173302044857477
alpha10_material2,10,2,0.205,0.0112628155399217,0.0358593858700336,0.0175758888485985
alpha10_material2,10,2,0.2075,0.0114205356927818,0.0363615469682813,0.0178220148608755
alpha10_material2,10,2,0.21,0.0115785359489028,0.0368645998800265,0.0180685779808865
alpha10_material2,10,2,0.2125,0.0117368134621733,0.0373685355436088,0.0183155737672079
alpha10_material2,10,2,0.215,0.0118953654485763,0.0378733450950691,0.0185629978753154
alpha10_material2,10,2,0.2175,0.0120541891841277,0.0383790198615845,0.0188108460543675
alpha10_material2,10,2,0.22,0.0122132820029054,0.0388855513551957,0.0190591141441304
alpha10_material2,10,2,0.2225,0.0123726412951662,0.0393929312668082,0.019307798072038
alpha10_material2,10,2,0.225,0.0125322645055425,0.039901151460454,0.0195568938503792
alpha10_material2,10,2,0.2275,0.0126921491313178,0.0404102039677994,0.019806397573606
alpha10_material2,10,2,0.23,0.0128522927207748,0.0409200809828845,0.0200563054157556
alpha10_material2,10,2,0.2325,0.013012692871612,0.0414307748570844,0.0203066136279802
alpha10_material2,10,2,0.235,0.013173347229427,0.0419422780942786,0.0205573185361793
alpha10_material2,10,2,0.2375,0.0133342534862616,0.0424545833462189,0.0208084165387299
alpha10_material2,10,2,0.24,0.013495409379206,0.0429676834080851,0.0210599041043077
alpha10_material2,10,2,0.2425,0.0136568126890586,0.0434815712142192,0.0213117777697965
alpha10_material2,10,2,0.245,0.0138184612390398,0.0439962398340295,0.0215640341382807
alpha10_material2,10,2,0.2475,0.0139803528935563,0.0445116824680555,0.0218166698771164
alpha10_material2,10,2,0.25,0.014142485557013,0.0450278924441863,0.022069681716078
