alpha_deg,case_id,material_index,sigma_prime,factor_truncation,d_over_l,delta_prime,J_prime,lambda0,lambda,g2,Q_prefactor,base_terminal_log_deviation,process_terminal_log_deviation
1,C_positive_material2,2,0.5,690,0.000334567324702821,0.000276833276374626,0.000235061074026095,-0.0101713173877304,-0.96242621619201,-0.0101740523822635,0.000246668450195314,6.50401954304644e-10,1.39811487809649e-08
2,C_positive_material2,2,0.5,350,0.00131233822962964,0.00147127765575419,0.00092421671123419,-0.0200361385205572,-0.946421650399447,-0.0196275753400777,0.00105786650320242,4.6537995668501e-10,1.01400486299877e-08
3,C_positive_material2,2,0.5,230,0.00293789390084468,0.00391421864067861,0.00207064830629106,-0.0295169636833751,-0.933829942453543,-0.0279200049692873,0.00250420137360202,6.49420739196118e-10,1.39694747856978e-08
4,C_positive_material2,2,0.5,180,0.00521364636215559,0.00783186432397812,0.00367354801895911,-0.0385544703625096,-0.922946288015899,-0.0346872179508266,0.00462713471632574,2.37837971511251e-10,5.32424883377862e-09
5,C_positive_material2,2,0.5,140,0.0081310098695443,0.0133853020453432,0.00572266502115351,-0.0471060688651836,-0.913114675229351,-0.0396405179207485,0.00744647222996039,4.63535432152754e-10,1.01178387291774e-08
6,C_positive_material2,2,0.5,120,0.0116701265308316,0.0206808416526977,0.00819852243907422,-0.055143821855772,-0.904000455099151,-0.042561518244359,0.0109644068757437,2.36937580638493e-10,5.31314404996035e-09
7,C_positive_material2,2,0.5,100,0.0158010246269947,0.0297754885118494,0.0110735681540361,-0.0626521068716319,-0.895405679592306,-0.0432946464371513,0.0151687070800116,4.61433557923506e-10,1.00925034394995e-08
8,C_positive_material2,2,0.5,90,0.0204851353691497,0.0406812376880478,0.0143135469073275,-0.0696252930199733,-0.887201787328731,-0.0417386518189624,0.0200354625896243,2.35680364085705e-10,5.29762779493047e-09
9,C_positive_material2,2,0.5,80,0.0256768250468951,0.0533690517411461,0.0178788605491779,-0.0760656004643907,-0.879299664085376,-0.0378380945162949,0.025531470316145,2.34918973135596e-10,5.28822487199594e-09
10,C_positive_material2,2,0.5,70,0.0313248063816812,0.0677727058698993,0.0217258213112402,-0.0819812292703911,-0.871634481631286,-0.0315754266951634,0.0316162810233199,4.56984894265876e-10,1.00388337036366e-08
11,C_positive_material2,2,0.5,70,0.0373733787622585,0.0837925092121525,0.0258077623280254,-0.0873847863443345,-0.864157276874679,-0.0229639881727988,0.038243925780579,4.36197744581514e-11,1.04873765282601e-09
