E1_over_E2,alpha1_author_deg,alpha1_matlab_deg,alpha1_difference_deg,alpha2_author_deg,alpha2_matlab_deg,alpha2_difference_deg
0.01,2.6,2.581832678,-0.018167322,108.0,108.015911142,0.015911142
0.10,7.1,7.029918876,-0.070081124,107.9,107.903632305,0.003632305
0.20,9.2,9.247834730,0.047834730,107.7,107.722236761,0.022236761
0.30,10.8,10.771629646,-0.028370354,107.5,107.515596843,0.015596843
0.40,12.0,11.952079733,-0.047920267,107.3,107.301695329,0.001695329
0.50,12.9,12.920209601,0.020209601,107.1,107.089673026,-0.010326974
0.60,13.7,13.741687784,0.041687784,106.9,106.884164620,-0.015835380
0.70,14.5,14.454881569,-0.045118431,106.7,106.687411421,-0.012588579
0.80,15.1,15.084458728,-0.015541272,106.5,106.500349474,0.000349474
0.90,15.6,15.647354880,0.047354880,106.3,106.323194478,0.023194478
0.99,16.1,16.107098612,0.007098612,106.2,106.172081737,-0.027918263
